date,VTSMX,VBLTX,IEMG,VIX,VTI,MUB,VBR,SPTR,BND,VEA,VTV
20051027,23.8562991741,7.2469985003,25.9992813166,16.02,48.6030850027,73.7577338108,47.4362539697,1776.005,53.7269525854,25.9918630039,42.6225570868
20051028,24.2450309354,7.2469985003,26.1407526176,14.25,49.3647314183,73.7577338108,48.1981834376,1805.557,53.6732256328,26.1358622449,42.505376303
20051031,24.4731995779,7.2908437808,26.6374740744,15.32,49.5907144207,74.0400930159,49.0174624353,1818.504,53.8827607479,26.3518611065,43.2162730579
20051101,24.3971433637,7.2782625146,26.9840290298,14.85,49.6827815698,74.0400930159,48.763485946,1812.109,53.8288240504,26.4478606005,43.1772127967
20051102,24.676016149,7.2530999821,27.4250989731,13.48,50.2812180392,73.9709612763,49.5827649438,1830.431,53.7209506555,26.711859209,43.1537766399
20051103,24.785875125,7.2216468165,27.5983764508,13,50.4653523375,73.8326977973,49.6155361037,1838.855,53.6130772606,26.8798583235,43.7709287678
20051104,24.785875125,7.2090655503,27.4408514711,13.17,50.4611674671,73.8326977973,49.4352947242,1839.158,53.5591405632,26.5438600945,43.7943649246
20051107,24.8450299582,7.2216468165,27.4250989731,13.1,50.4988313008,73.8326977973,49.6319216836,1843.271,53.6130772606,26.6398595885,43.7787408201
20051108,24.7605230536,7.2782625146,27.3305839853,13.08,50.4695372079,73.9709612763,49.4598730941,1837.796,53.8288240504,26.567859968,43.5521913048
20051109,24.8027765059,7.2279374496,27.5826239529,12.8,50.59089845,73.8326977973,49.6155361037,1841.001,53.6130772606,26.4958603475,43.5834395138
20051110,25.005593077,7.2845531477,27.7243964346,11.9,50.8922091199,73.9018295368,50.0005972326,1856.9,53.8288240504,26.567859968,43.5443792525
20051111,25.0816492911,7.2845531477,27.9606839042,11.63,51.1181921223,73.9018295368,50.2873448818,1862.558,53.8288240504,26.663859462,44.0365385444
20051114,25.0647479102,7.246809349,27.9449314063,12.18,51.0135703619,73.8326977973,50.0005972326,1861.248,53.6670139581,26.5438600945,44.2162157462
20051115,24.9548889342,7.2845531477,27.8031589245,12.23,50.812696582,73.9018295368,49.5745721538,1854.278,53.774887353,26.3278612329,44.1302831714
20051116,24.9971423865,7.3348782126,28.0236938961,12.26,50.9089486015,74.0400930159,49.4352947242,1857.971,53.9366974453,26.3278612329,44.0365385444
20051117,25.2675644813,7.3600407451,28.3702488516,11.25,51.3860238289,74.1092247554,50.2545737219,1875.492,54.0445708402,26.7358590825,44.0834108579
20051118,25.3774234573,7.3222969464,28.4332588435,11.12,51.7166285917,74.1092247554,50.5740925311,1883.992,53.9366974453,26.8318585765,44.583382202
20051121,25.5295358856,7.3474594788,28.5120213333,10.82,51.9467964645,74.1783564949,50.9837320299,1893.932,54.0445708402,26.999857691,44.6693147768
20051122,25.664746933,7.353750112,28.2442288678,10.6,52.2355525231,74.2474882344,51.2213229393,1903.656,54.0985075377,26.903858197,44.8489919786
20051123,25.7492538376,7.3097156801,28.732556305,10.96,52.4782750072,74.1783564949,51.3524075789,1910.394,53.9906341428,27.1678568056,45.0911655984
20051125,25.7999579804,7.3474594788,28.8113187948,10.88,52.5494178043,74.2474882344,51.3769859489,1914.405,54.0985075377,27.0238575645,45.4036476885
20051128,25.5464372665,7.3789126444,28.6852988111,11.84,52.0765274474,74.3166199739,50.7133699607,1898.37,54.1524442351,26.951857944,45.4427079497
20051129,25.554887957,7.3222969464,28.701051309,11.89,52.0848971882,74.1783564949,50.8690329702,1898.741,53.9906341428,26.999857691,45.294278957
20051130,25.445028981,7.3468304155,28.8207702936,12.06,51.8798385379,74.4548834529,50.8690329702,1887.284,54.1470505654,26.85585845,45.1536620164
20051201,25.7830565995,7.3278790043,29.2469262618,11.24,52.5284934522,74.3854939996,51.7128903379,1910.232,54.0387564642,27.2638562996,45.0208571281
20051202,25.7915072899,7.3278790043,29.3889782512,11.01,52.5452329339,74.3854939996,51.6227696482,1910.856,54.0387564642,27.3838556671,45.2474066434
20051205,25.7239017662,7.2962933189,29.5310302406,11.6,52.4280565622,74.2467150928,51.3933715288,1906.422,53.9846094137,27.4318554141,45.2552186957
20051206,25.7492538376,7.3531475526,29.8309177738,11.52,52.4196868214,74.3854939996,51.327829209,1908.888,54.1470505654,27.5758546551,45.4036476885
20051207,25.6224934807,7.3341961414,29.7835671107,12.18,52.1978886894,74.3854939996,51.1557806195,1899.693,54.0929035148,27.4558552876,45.3099030615
20051208,25.6224934807,7.3720989638,29.6415151213,12.21,52.2062584302,74.5242729063,51.1393950395,1897.571,54.2553446665,27.5038550346,44.9505486579
20051209,25.6985496949,7.3215618672,29.6257315669,11.69,52.3276196723,74.3854939996,51.4916850085,1902.918,54.0929035148,27.6958540226,45.0442932849
20051212,25.7239017662,7.3152447302,29.7835671107,11.47,52.415501951,74.3854939996,51.5408417484,1904.591,54.0387564642,27.9838525047,45.2317825389
20051213,25.8422114327,7.3215618672,29.9887533176,11.11,52.7126277505,74.4548834529,51.7046975479,1915.297,54.0929035148,28.0798519987,45.1224138074
20051214,25.9436197183,7.384733238,29.9414026544,10.48,52.8172495109,74.5936623596,51.8849389275,1923.435,54.3094917171,28.1758514927,45.5052043678
20051215,25.884464885,7.3720989638,29.8309177738,10.73,52.6833336576,74.5936623596,51.4425282687,1920.848,54.2553446665,27.9118528842,45.7161297786
20051216,25.8168593613,7.391050375,29.8309177738,10.68,52.6205606014,74.5936623596,51.3687931589,1915.401,54.3094917171,28.1278517457,45.7395659353
20051219,25.6309441712,7.3973675121,29.9256191001,11.38,52.1769643373,74.5936623596,50.6969843807,1904.214,54.3094917171,28.0798519987,45.6301972038
20051220,25.6393948616,7.384733238,30.0361039807,11.19,52.2188130415,74.5936623596,50.6314420609,1903.814,54.2553446665,28.1278517457,45.2552186957
20051221,25.7239017662,7.3720989638,30.3359915139,10.81,52.4071322102,74.5242729063,51.0410815598,1908.646,54.2011976159,28.1758514927,45.5208284723
20051222,25.8506621232,7.4226360604,30.3991257314,10.29,52.6498546943,74.663051813,51.2540940992,1917.157,54.3636387676,28.3198507337,45.5677007858
20051223,25.8700987112,7.473173157,30.0834546438,10.27,52.6833336576,74.8018307197,51.5326489584,1918.254,54.4719328687,28.3198507337,45.6223851515
20051227,25.6153045677,7.5047588423,29.9887533176,11.57,52.2029105339,74.8018307197,50.966527171,1899.926,54.5802269699,28.1998513662,45.7420127598
20051228,25.6747565345,7.4794902941,29.9887533176,11.35,52.2786461984,74.8712201731,51.2670668889,1902.737,54.4719328687,28.4686499494,45.3639795965
20051229,25.5983182914,7.4921245682,30.1939395245,11.61,52.0850995002,74.8712201731,51.0082687985,1897.197,54.4719328687,28.3950241306,45.3088497602
